,0,1,2
206,Gyu-Kaku Japanese BBQ,34.0395314,-118.4303022
207,Hamburger Habit West LA,34.0272093,-118.4294678
208,Jaipur Cuisine of India,34.0392342,-118.4298415
209,IHOP,34.0285377,-118.4290548
210,Jack in the Box,34.0379882,-118.4324131
211,Billingsley's Restaurant,34.034671,-118.43928
212,Baja Bud's,34.027527,-118.4293426
213,Galbi King,34.026637,-118.4310043
214,The Backhouse,34.039611,-118.430077
215,Primo's Donuts,34.0268944,-118.4316347
216,Osteria La Buca,34.0833384,-118.3138433
217,La Fonda Antioquena,34.0837037,-118.3120623
218,Choeng Wun BBQ Buffet Restaurant,34.0874193,-118.3088465
219,KFC,34.0774532,-118.3089455
220,Antequera De Oaxaca,34.0833603,-118.3137058
221,BurgerIM,34.0836523,-118.309419
222,Mesón Cafe,34.0797162,-118.3094511
223,Taco Bell,34.0883312,-118.3089113
224,Love Shrimp Thai Thai,34.0833903,-118.3051252
225,McDonald's,34.0886542,-118.3096191
226,Moon BBQ,34.0796346,-118.3087259
227,Ragin Cajun Cafe,33.8334875,-118.3853333
228,Wildflower Cafe,33.832355,-118.3847373
229,Dominique's Kitchen,33.833339,-118.3847537
230,Phanny's,33.8258353,-118.3857525
231,Classic Burger,33.8372777,-118.3811153
232,Public Storage,34.3214919,-118.481515
233,Amara Kitchen,34.1188224,-118.1790352
234,Italiano's Pizza,34.1202642,-118.1835355
235,exEat by Eatalian Cafe,33.8968207,-118.326186
236,La Villa Mexican Food,33.8914156,-118.3268127
237,Redbox,33.8869866,-118.3186154
238,7-Eleven,33.8942627,-118.3182044
239,Continental Gourmet Market - Lomita,33.7910052,-118.3197798
240,Tamaen,33.7902191,-118.3134323
241,Sushi Delight,33.790161,-118.317933
242,Burger City Grill,33.7893522,-118.3166642
243,Szechwan Chinese Restaurant,33.7898291,-118.3176564
244,Red West Pizza Lomita,33.790234,-118.318116
245,The Wok Experience,33.7893222,-118.3183
246,A-1 Chinese BBQ,33.7892769,-118.315122
247,Popeyes Louisiana Kitchen,33.7892137,-118.319483
248,The Buffalo Spot,33.8878667,-118.2072934
249,7-Eleven,33.8815083,-118.2043917
250,McDonald's,34.2496971,-118.4671131
251,Carl's Jr.,34.2432245,-118.4681144
252,Redbox,34.2505061,-118.4667103
253,Rascals Teriyaki Grill,33.8381084,-118.3681547
254,Shakey's Pizza Parlor,33.8381084,-118.3681547
255,Scardino's Italian Restaurant,33.8380474,-118.3645687
256,Wendy's,33.8371463,-118.3706427
257,McDonald's,33.83789,-118.3674243
258,Jack in the Box,33.8378312,-118.3660547
259,Taishi Hainan Chicken,33.8385562,-118.3757267
260,La Zeez Pita Grill,33.8378051,-118.365758
261,7-Eleven,33.83915590000001,-118.3757555
262,Moon Donuts,33.8385562,-118.3757267
263,Mucho Mas,34.1724424,-118.358111
264,The Juice Parlor,34.173621,-118.3612296
265,Benihana,33.8345574,-118.3558055
266,BJ's Restaurant & Brewhouse,33.8324755,-118.3471993
267,Chili's Grill & Bar,33.8270228,-118.3533152
268,Chick-fil-A,33.8297714,-118.3529748
269,Sbarro,33.829724,-118.349616
270,Daiso,33.8248082,-118.3528607
271,Subway Restaurants,33.9750734,-118.2655672
272,Rally's,33.9743539,-118.2656014
273,Golden Ox,33.9744375,-118.2737436
274,7-Eleven,33.9750359,-118.2690764
275,The York,34.1210946,-118.2063109
276,El Huarache Azteca,34.1207009,-118.2017871
277,The Highland Cafe,34.1211177,-118.2065394
278,Sonny's Hideaway,34.1210228,-118.2033864
279,Jugos Azteca,34.1207457,-118.2022097
280,Block Party Highland Park,34.1209676,-118.2052142
281,Berry Bowl,34.1209288,-118.2050826
282,U PiCK Cafe,34.12250909999999,-118.2140844
283,Côté Est Bistro & bar,34.1210887,-118.2061738
284,TOWN Pizza,34.121327,-118.2045745
285,Joy,34.1208128,-118.2047116
286,Donut Friend,34.1212197,-118.2044031
287,Permanent Records,34.1210947,-118.2038898
288,Pop-Hop Books & Print,34.1213417,-118.2067809
289,Wienerschnitzel,33.8317625,-118.2955012
290,Phil’s Fish Grill,33.83185,-118.2976925
291,Carl's Jr.,33.8318873,-118.2989463
292,McDonald's,33.8311189,-118.3033398
293,Fiesta Grill,33.8322124,-118.296574
294,Golden Pheasant,33.8317872,-118.2945944
295,Louis Burgers IV,33.8320264,-118.2999374
296,Domino's Pizza,33.8310888,-118.3072444
297,Lee's Sandwiches,33.8317768,-118.2966719
298,Rite Aid Pharmacy,33.8323776,-118.2980219
299,Marmalade Cafe - Sherman Oaks,34.1521099,-118.4578139
300,Blue Dog Beer Tavern,34.1518985,-118.4659804
301,Kao Cafe,34.1532615,-118.4614407
302,Blu Jam Cafe,34.153185,-118.4611897
303,Kung Pao China Bistro,34.1531022,-118.4604483
304,Toast Cafe,34.1528969,-118.4597291
305,Mel's Drive-In,34.1520432,-118.4568105
306,Tipsy Cow,34.1529835,-118.4598452
307,Panzanella Ristorante,34.1521894,-118.4584413
308,Mulberry Street Pizzeria,34.1530288,-118.4630824
309,Public School 818,34.153581,-118.466702
310,Sonny's Amazing Italian Ices & Cremes,34.1524221,-118.4610028
311,McDonald's,33.9025072,-118.2538957
312,Taco Bell,33.9020788,-118.2529592
313,Louisiana Fried Chicken & Chinese Food,33.9025485,-118.2530049
314,Jim's Burgers No. 9,33.8857353,-118.2829473
315,Red Chili,34.2284282,-118.5276994
316,India Sweets & Spices,34.2279336,-118.5283151
317,Domino's Pizza,34.2281839,-118.5271386
318,Taco Bell,34.2284353,-118.5277196
319,7-Eleven,34.2207593,-118.5182863
320,7-Eleven,34.2290116,-118.527868
321,Chart House,33.9786321,-118.4532386
322,Sunny Spot,33.9880483,-118.4517904
323,Cafe Buna,33.9831522,-118.4596079
324,Subway Restaurants,33.9831029,-118.4609439
325,Wacky Wok,33.9881764,-118.453206
326,Scopa Italian Roots,33.9883021,-118.4515064
327,Tahntawan,33.9831654,-118.4608464
328,VENICE RAMEN,33.9832066,-118.4607715
329,The Warehouse Restaurant,33.9829137,-118.4445871
330,Noah's NY Bagels,33.9830964,-118.4596875
331,Taqueria Chihuahua,33.9829965,-118.4610436
332,Moto Azabu Sushi Bar & Grill,33.9830669,-118.4610066
333,Woody's Bar-B-Q,33.9743652,-118.313204
334,Lupita's Bakery Inc,33.974306,-118.310875
335,Jack in the Box,33.9743046,-118.3092766
336,M'Dears,33.9694063,-118.3092881
337,Burger Palace,33.9748017,-118.3087286
338,Tumby's Pizza,33.9628519,-118.3088249
339,Domino's Pizza,33.8565694,-118.3908343
340,Coyote Cantina,33.8503133,-118.3892444
341,King Shabu Shabu,33.8510022,-118.391618
342,Jus' Poke,33.8495845,-118.3888466
343,Oki Doki Sushi,33.8584011,-118.3907621
344,Hudson House,33.8502355,-118.3886739
345,7-Eleven,33.8585493,-118.3908156
346,Subway Restaurants,34.2007689,-118.4090132
347,Subway Restaurants,34.1923679,-118.3960684
348,Cilantro Mexican Grill,34.2017813,-118.4047633
349,McDonald's,34.200942,-118.4079727
350,Del Taco,34.1926113,-118.3961989
351,Tasty Burgers,34.1941448,-118.4061554
352,New Pho 999,34.201509,-118.414346
353,Domino's Pizza,34.2015396,-118.414026
354,Krua Thai Restaurant,34.2008689,-118.4191855
355,Toshi Sushi,34.1943563,-118.4133937
356,Sri Siam Cafe,34.1942494,-118.4132473
357,El Hatuchay,34.202027,-118.413413
358,Taco Bell,34.1937051,-118.4140968
359,Bua Siam,34.2006772,-118.4149642
360,Taco Mexico,34.2008143,-118.4105141
361,McDonald's,34.0584517,-118.2122283
362,Jack in the Box,34.0614761,-118.2136723
363,Zamora Bros,34.0526547,-118.2198361
364,7-Eleven,34.0575059,-118.210176
365,The Original Giuliano's Delicatessen in Gardena,33.8812768,-118.2947309
366,Nino's Place,33.8850228,-118.2911994
367,At Home Kitchen,33.8786863,-118.2907417
368,Chile Verde,33.8195184,-118.320572
369,KFC,33.8206078,-118.3204192
370,Redbox,33.8205483,-118.320043
371,7-Eleven,33.8205483,-118.320043
372,Rite Aid Pharmacy,33.8194895,-118.3214466
373,Subway Restaurants,34.1855662,-118.349505
374,Domino's Pizza,34.1855602,-118.3496027
375,KFC,34.1845271,-118.3501442
376,7-Eleven,34.1849818,-118.3488886
377,We're Pouring,34.1580523,-118.2491219
378,IHOP,34.1550223,-118.2430001
379,Le Petit Cafe,34.16090459999999,-118.2554718
380,Louisiana Fried Chicken,33.8882769,-118.2368782
381,7-Eleven,33.8887996,-118.2375178
382,7-Eleven,34.2646844,-118.437818
383,Carl's Jr.,34.070418,-118.4441451
384,Subway Restaurants,34.0662795,-118.4463178
385,Taco Bell,34.0700697,-118.4440913
386,Veggie Grill,34.070418,-118.4441451
387,Olive Garden Italian Restaurant,34.1471992,-118.2557336
388,Porto's Bakery and Cafe,34.1504155,-118.2554489
389,Raffi's Place,34.1465559,-118.2534519
390,Vegas Seafood Buffet,34.14559029999999,-118.2547844
391,Gauchos Village,34.1476161,-118.2541994
392,In-N-Out Burger,34.1455831,-118.2552662
393,Frida Mexican Cuisine,34.1441507,-118.2552974
394,Carousel Restaurant,34.1502152,-118.2547886
395,BJ's Restaurant & Brewhouse,34.1471992,-118.2557336
396,Octopus Japanese Restaurant,34.1469254,-118.2537603
397,Damon's Steak House,34.1506325,-118.2555403
398,Subway Restaurants,34.1468237,-118.2546621
399,Tavern on Brand,34.1484901,-118.2546585
400,Islands Restaurant Glendale,34.1465763,-118.2561287
401,Casa Sanchez,33.9927464,-118.422663
402,Alibi Room,33.9969881,-118.426674
403,LA Vegan,33.9926224,-118.4232333
404,Sakura,33.9919489,-118.4224101
405,Paco's Tacos,33.9961183,-118.4277923
406,Cafe Brasil,33.999324,-118.418306
407,The Wood,33.9974656,-118.4220834
408,FIN,33.9972491,-118.4264515
409,A La Carte Thai Bistro,33.996759,-118.42866
410,Submariners,33.9918877,-118.4216727
411,New Flavors,33.996164,-118.4279292
412,Tacomiendo,33.9949141,-118.4174626
413,Centinela Cafe,33.9896037,-118.4185763
414,Hotcakes Bakes,33.996461,-118.4282377
415,B & B Hardware,33.9968579,-118.4293557
416,Public Storage,33.9986969,-118.418786
417,Angel Maid Bakery,33.9923655,-118.4221912
418,SACHI.LA,33.9916487,-118.4214398
419,Rincón Chileno,34.0834297,-118.295608
420,Gracie's Pizza,34.083369,-118.2951592
421,Big Mama's & Papa's Pizzeria - Vermont,34.0860575,-118.2914346
422,McDonald's,34.0833573,-118.2914425
423,Khun Dom,34.0836871,-118.3025916
424,Prael,34.08344659999999,-118.3014311
425,Golfo DE Fonseca Restaurant,34.0859523,-118.2914249
426,Jack in the Box,34.0863174,-118.2914425
427,California Bowl,34.0839773,-118.2912827
428,7-Eleven,33.9159989,-118.2548432
429,Subway Restaurants,34.2328335,-118.2548971
430,El Torito,33.9734352,-118.4463024
431,Whiskey Red's,33.9714974,-118.4462781
432,Paragon Bar and Grill,34.2217041,-118.5101007
433,Wienerschnitzel,34.1066781,-118.1991709
434,El Pescador,34.1065499,-118.1983598
435,The Greyhound Bar & Grill,34.1086936,-118.1939271
436,Cafe Birdie,34.10953629999999,-118.1932998
437,Monte 52,34.1084165,-118.2008274
438,Mason's Dumpling Shop,34.1105946,-118.1919164
439,Kitchen Mouse,34.1103711,-118.1907414
440,La Cuevita,34.1107062,-118.190163
441,Las Cazuelas Restaurant & Pupuseria,34.1099383,-118.1927847
442,La Fuente Restaurant,34.1107713,-118.1960292
443,Folliero's Italian Food and Pizza,34.108661,-118.1940985
444,Antigua Bread,34.1098756,-118.1928761
445,Baja Sharkeez,33.8618445,-118.4006442
446,Underground Pub & Grill,33.8634873,-118.4000165
447,American Junkie,33.8619446,-118.4004432
448,Hennessey's Tavern,33.861761,-118.4015211
449,Pedone's Pizza & Italian Food,33.8634873,-118.4000165
450,Patrick Molloy's Sports Pub,33.8618111,-118.4006213
451,EL GRINGO HERMOSA,33.8724481,-118.4050457
452,Good Stuff Restaurant,33.8625983,-118.4017281
453,Java Man,33.8629918,-118.3993547
454,Palmilla Cocina y Tequila,33.8622888,-118.4010435
455,Watermans,33.8617704,-118.4011006
456,Silvio's Brazilian BBQ,33.8618132,-118.4013041
457,Martha's 22nd St. Grill,33.8693922,-118.4039192
458,Gum Tree Shop & Café,33.8631901,-118.3986902
459,Good Book Store,33.8716927,-118.3947754
460,Black Bear Diner,33.8041076,-118.1689969
461,WaBa Grill,33.8035162,-118.1662774
462,TOGO'S Sandwiches,33.8047361,-118.1688036
463,Golden Eagle Restaurant,33.8047288,-118.1661632
464,Del Taco,33.80473780000001,-118.1696139
465,McDonald's,33.8040642,-118.1680371
466,Kashiwa Japanese Restaurant,33.8050332,-118.1646092
467,Curley's Cafe,33.8048539,-118.1683342
468,GD Bro Burger,33.8040277,-118.1700129
469,Public Storage,34.1550647,-118.4479348
470,Sherman Oaks Exclusive,34.1549495,-118.4490838
471,Las Trancas Restaurant,33.9917473,-118.1846958
472,La Tequila,33.9893289,-118.1850022
473,Queens Burgers - Pacoima,34.2537803,-118.4105825
474,Church's Chicken,34.2544168,-118.4085287
475,7-Eleven,34.2541859,-118.4100805
476,Cemitas La China Poblana,34.0255104,-118.1964862
477,Redbox,34.0179344,-118.1990791
478,Carrillo's Tortilleria,34.2840675,-118.4456031
479,Menchie's Frozen Yogurt,34.2848869,-118.441917
480,Wingstop,34.2838648,-118.4416349
481,IHOP,34.2857186,-118.4429385
482,Denny's,34.2835777,-118.4405197
483,Los Tres Hermanos Restaurant,34.2829951,-118.4413817
484,Domino's Pizza,34.2828626,-118.4398048
485,Jack in the Box,34.2832462,-118.4439179
486,La Mascota Bakery,34.0325975,-118.2112231
487,Yum Yum Donuts,34.0281219,-118.2012844
488,Fosters Freeze,34.0324986,-118.2120227
489,El Jato,34.0370424,-118.2042245
490,Parkers' Lighthouse,33.7598548,-118.1918654
491,Louisiana Charlie's,33.7600754,-118.1918362
492,Queensview Steakhouse,33.7598548,-118.1918654
493,Village Hat Shop,33.76079259999999,-118.1902112
494,Acapulco Restaurant & Cantina,34.157112,-118.2638542
495,House of Joy Chinese Restaurant,34.15800280000001,-118.2634888
496,Sevan Chicken Rotisserie,34.1601144,-118.2676405
497,Hungry Howie's Pizza,34.1592458,-118.2670746
498,MOTO SUSHI,34.161536,-118.2641337
499,Thai Me Upp,34.15800280000001,-118.2634888
500,Green Corner Cafe,34.1592401,-118.2672573
501,Jack in the Box,34.1578517,-118.2643338
502,Hong Kong Kitchen,34.1616453,-118.2648706
503,Yum Yum Donuts,34.1594172,-118.2673487
504,Best Shawarma,34.159223,-118.2671659
505,Mission Wine & Spirits,34.1608945,-118.2739948
506,Paris Baguette,34.15800280000001,-118.2634888
507,7-Eleven,34.1612172,-118.2743831
508,Burger King,34.2009573,-118.3839722
509,Rigos Taco,34.1938124,-118.3777443
510,Public Storage,34.200286,-118.3848167
511,Extra Space Storage,34.1949755,-118.3798868
512,La Capilla Mexican Restaurant,33.8345737,-118.3148252
513,Angara Indian Restaurant,33.8362141,-118.3211954
514,Restoration Kitchen & Wine,33.833563,-118.3160955
515,Fosters Freeze,33.8327332,-118.315533
516,Wadatsumi,33.8321359,-118.3108141
517,Yorkshire Square Brewery,33.8370359,-118.3163623
518,Shakey's Pizza Parlor,34.1673588,-118.3968215
519,Domino's Pizza,34.17240810000001,-118.4056465
520,Ameci Pizza & Pasta,34.1717764,-118.404672
521,Original Tommy's,34.1723912,-118.3968215
522,El Taco Loco,34.1692419,-118.3959796
523,Teya Thai,34.1694024,-118.3959999
524,7-Eleven,34.1681117,-118.3970041
525,Chili's Grill & Bar,33.9451655,-118.33237
526,Red Lobster,33.9451132,-118.3311729
527,In-N-Out Burger,33.9457913,-118.3323452
